,+/-,3P,3P%,3PA,3PAr,AST,BLK,Code,DRB,Day,FG,FG%,FGA,FT,FT%,FTA,FTr,Home,Losses,Month,ORB,PF,PTS,STL,Starters MP,TOV,TS%,Wins,Year,eFG%,Date,Checker,Team,Spread,Line
6184,45,7,0.4117647058823529,17,0.0945945945945946,29,3,lalokc,37,27,41,0.5540540540540541,74,16,0.5517241379310345,29,0.21621621621621623,1,25,01,6,20,105,6,33.90333333333333,13,0.6051175656984785,18,2013,0.6013513513513513,20130127,20130127lalokc,L.A. Lakers, +3,-110
6185,-40,3,0.1875,16,0.03409090909090909,18,7,memnop,25,27,32,0.36363636363636365,88,16,0.8888888888888888,18,0.18181818181818182,1,14,01,22,17,83,10,28.136666666666667,15,0.43265221017514593,28,2013,0.3806818181818182,20130127,20130127memnop,Memphis, -7.5,-110
6186,10,16,0.5925925925925926,27,0.2222222222222222,22,3,nykatl,20,27,39,0.5416666666666666,72,12,0.7058823529411765,17,0.16666666666666666,1,15,01,6,17,106,6,28.513333333333332,14,0.6668344237544036,26,2013,0.6527777777777778,20130127,20130127nykatl,New York, -5.5,-110
6187,-10,10,0.43478260869565216,23,0.1111111111111111,26,2,orldet,33,27,40,0.4444444444444444,90,12,0.75,16,0.13333333333333333,1,28,01,18,21,102,9,36.38333333333333,15,0.5255564715581204,14,2013,0.5,20130127,20130127orldet,Orlando, -1.5,-110
6188,100,13,0.4482758620689655,29,0.17567567567567569,23,3,brkorl,33,28,37,0.5,74,10,0.8333333333333334,12,0.13513513513513514,1,18,01,12,13,97,8,27.576666666666664,20,0.6117558022199798,26,2013,0.5878378378378378,20130128,20130128brkorl,Brooklyn, -9,-110
6189,40,7,0.3888888888888889,18,0.08974358974358974,22,14,chicho,33,28,35,0.44871794871794873,78,16,0.64,25,0.20512820512820512,1,17,01,15,20,93,5,28.7,11,0.5224719101123596,26,2013,0.4935897435897436,20130128,20130128chicho,Chicago, -11,-110
6190,5,7,0.5,14,0.08974358974358974,23,4,denind,32,28,37,0.47435897435897434,78,21,0.7,30,0.2692307692307692,1,18,01,9,23,102,10,32.82,14,0.5592105263157895,27,2013,0.5192307692307693,20130128,20130128denind,Denver, -5.5,-110
6191,-15,4,0.4444444444444444,9,0.04819277108433735,25,4,phimem,21,28,45,0.5421686746987951,83,6,0.6666666666666666,9,0.07228915662650602,1,25,01,6,14,100,8,37.84666666666667,9,0.5749770009199633,18,2013,0.5662650602409639,20130128,20130128phimem,Philadelphia, +3.5,-110
6192,-60,6,0.3157894736842105,19,0.06896551724137931,28,4,torgsw,26,28,38,0.4367816091954023,87,20,0.8695652173913043,23,0.22988505747126436,1,28,01,11,18,102,7,30.643333333333334,10,0.5251235584843492,16,2013,0.47126436781609193,20130128,20130128torgsw,Toronto, +1,-110
6193,-225,5,0.2777777777777778,18,0.06172839506172839,19,9,utahou,25,28,32,0.3950617283950617,81,11,0.5789473684210527,19,0.13580246913580246,1,20,01,14,19,80,2,24.756666666666668,15,0.4476275738585497,24,2013,0.42592592592592593,20130128,20130128utahou,Utah, -4,-110
6194,-10,3,0.2727272727272727,11,0.03896103896103896,20,2,wassac,35,28,37,0.4805194805194805,77,17,0.8095238095238095,21,0.22077922077922077,1,31,01,10,19,94,4,29.990000000000002,20,0.5449907235621522,11,2013,0.5,20130128,20130128wassac,Washington, -7,-110
6195,-65,4,0.2222222222222222,18,0.047619047619047616,27,4,clegsw,24,29,36,0.42857142857142855,84,19,0.76,25,0.2261904761904762,1,32,01,12,13,95,8,32.99,11,0.5,13,2013,0.4523809523809524,20130129,20130129clegsw,Cleveland, +1.5,-110
6196,-141,2,0.16666666666666666,12,0.02127659574468085,18,4,detmil,31,29,38,0.40425531914893614,94,21,0.65625,32,0.22340425531914893,1,27,01,23,21,99,8,23.746666666666663,20,0.4579940784603997,17,2013,0.4148936170212766,20130129,20130129detmil,Detroit, -1.5,-110
6197,25,12,0.36363636363636365,33,0.1518987341772152,34,4,lalnop,41,29,39,0.4936708860759494,79,21,0.6363636363636364,33,0.26582278481012656,1,25,01,9,17,111,7,32.70666666666666,14,0.5934559452523525,19,2013,0.569620253164557,20130129,20130129lalnop,L.A. Lakers, -7,-110
6198,17,14,0.358974358974359,39,0.12612612612612611,38,6,pordal,34,29,46,0.4144144144144144,111,20,0.7407407407407407,27,0.18018018018018017,1,22,01,17,17,126,9,40.59666666666667,18,0.5126953125,22,2013,0.4774774774774775,20130129,20130129pordal,Portland, -2.5,-110
6199,5,10,0.38461538461538464,26,0.13333333333333333,26,8,atltor,33,30,36,0.48,75,11,0.6111111111111112,18,0.14666666666666667,1,19,01,3,18,93,10,38.080000000000005,17,0.5607814761215629,25,2013,0.5466666666666666,20130130,20130130atltor,Atlanta, -6.5,-110
6200,90,5,0.3125,16,0.0684931506849315,22,4,bossac,32,30,39,0.5342465753424658,73,16,0.8,20,0.2191780821917808,1,23,01,6,22,99,9,23.703333333333333,16,0.6051344743276283,21,2013,0.5684931506849316,20130130,20130130bossac,Boston, -7,-110
6201,-100,5,0.29411764705882354,17,0.07246376811594203,20,6,brkmia,24,30,31,0.4492753623188406,69,18,0.75,24,0.2608695652173913,1,18,01,10,13,85,7,30.50333333333333,19,0.5341880341880342,27,2013,0.4855072463768116,20130130,20130130brkmia,Brooklyn, +2,-110
6202,40,8,0.2857142857142857,28,0.0975609756097561,21,7,denhou,31,30,42,0.5121951219512195,82,26,0.7222222222222222,36,0.3170731707317073,1,18,01,9,23,118,9,31.263333333333332,20,0.6030253475061325,28,2013,0.5609756097560976,20130130,20130130denhou,Denver, -4.5,-110
6203,83,7,0.5,14,0.07526881720430108,27,4,inddet,41,30,38,0.40860215053763443,93,19,0.9047619047619048,21,0.20430107526881722,1,19,01,15,24,102,8,32.49333333333333,17,0.49882629107981225,26,2013,0.44623655913978494,20130130,20130130inddet,Indiana, -8,-110
6204,-80,6,0.42857142857142855,14,0.07317073170731707,17,7,milchi,26,30,34,0.4146341463414634,82,14,0.7368421052631579,19,0.17073170731707318,1,19,01,15,19,88,3,32.89,18,0.4869411243913236,24,2013,0.45121951219512196,20130130,20130130milchi,Milwaukee, +1.5,-110
6205,-30,5,0.2631578947368421,19,0.06578947368421052,20,3,minlac,30,30,33,0.4342105263157895,76,19,0.7037037037037037,27,0.25,1,24,01,8,25,90,9,26.56666666666667,13,0.512061902594447,17,2013,0.46710526315789475,20130130,20130130minlac,Minnesota, +4.5,-110
6206,80,14,0.4117647058823529,34,0.17073170731707318,30,4,nykorl,26,30,47,0.573170731707317,82,5,0.625,8,0.06097560975609756,1,15,01,10,18,113,4,26.90333333333333,9,0.6606641721234799,27,2013,0.6585365853658537,20130130,20130130nykorl,New York, -10,-110
6207,40,6,0.46153846153846156,13,0.06315789473684211,27,6,phiwas,32,30,40,0.42105263157894735,95,6,0.6,10,0.06315789473684211,1,26,01,11,17,92,9,37.13666666666667,9,0.46277665995975853,18,2013,0.45263157894736844,20130130,20130130phiwas,Philadelphia, -3.5,-110
6208,30,3,0.25,12,0.03614457831325301,21,2,pholal,29,30,38,0.4578313253012048,83,13,0.8666666666666667,15,0.1566265060240964,1,30,01,7,20,92,11,31.893333333333334,11,0.5133928571428572,15,2013,0.4759036144578313,20130130,20130130pholal,Phoenix, +3,-110
6209,120,9,0.5625,16,0.13043478260869565,28,5,sascho,29,30,38,0.5507246376811594,69,17,0.8095238095238095,21,0.2463768115942029,1,11,01,6,20,102,16,30.340000000000003,23,0.651840490797546,36,2013,0.6159420289855072,20130130,20130130sascho,San Antonio, -15,-110
6210,25,4,0.3333333333333333,12,0.058823529411764705,24,5,utanop,33,30,34,0.5,68,32,0.6956521739130435,46,0.47058823529411764,1,21,01,7,24,104,6,31.45,13,0.5893019038984588,24,2013,0.5294117647058824,20130130,20130130utanop,Utah, -7.5,-110
6211,15,7,0.35,20,0.08333333333333333,26,4,gswdal,34,31,36,0.42857142857142855,84,21,0.84,25,0.25,1,17,01,12,21,100,6,36.65333333333333,12,0.5263157894736842,28,2013,0.47023809523809523,20130131,20130131gswdal,Golden State, -3.5,-110
6212,83,5,0.35714285714285715,14,0.06756756756756757,29,11,okcmem,39,31,41,0.5540540540540541,74,21,0.84,25,0.28378378378378377,1,11,01,4,19,108,5,28.836666666666666,17,0.6352941176470588,34,2013,0.5878378378378378,20130131,20130131okcmem,Oklahoma City, -8.5,-110
6213,65,4,0.2222222222222222,18,0.047619047619047616,30,5,bosorl,38,01,42,0.5,84,9,0.6428571428571429,14,0.10714285714285714,1,23,02,10,13,97,9,27.440000000000005,14,0.5379325643300799,22,2013,0.5238095238095238,20130201,20130201bosorl,Boston, -9.5,-110
6214,20,5,0.45454545454545453,11,0.06666666666666667,19,4,brkchi,29,01,39,0.52,75,10,0.5,20,0.13333333333333333,1,19,02,11,18,93,7,32.92666666666667,14,0.5548926014319809,27,2013,0.5533333333333333,20130201,20130201brkchi,Brooklyn, -3,-110
6215,75,7,0.3181818181818182,22,0.08333333333333333,29,6,dennop,25,01,44,0.5238095238095238,84,18,0.8181818181818182,22,0.21428571428571427,1,18,02,7,20,113,14,32.230000000000004,8,0.6031169940222032,29,2013,0.5654761904761905,20130201,20130201dennop,Denver, -7,-110
6216,90,4,0.2857142857142857,14,0.04819277108433735,27,11,detcle,36,01,45,0.5421686746987951,83,23,0.5348837209302325,43,0.27710843373493976,1,29,02,13,21,117,8,32.54,11,0.5739795918367346,17,2013,0.5662650602409639,20130201,20130201detcle,Detroit, -5,-110
6217,65,7,0.4117647058823529,17,0.1,21,3,indmia,26,01,39,0.5571428571428572,70,17,0.7083333333333334,24,0.24285714285714285,1,19,02,8,22,102,5,36.32666666666667,12,0.6330685203574975,27,2013,0.6071428571428571,20130201,20130201indmia,Indiana, +2.5,-110
6218,45,1,0.14285714285714285,7,0.01282051282051282,22,6,memwas,34,01,35,0.44871794871794873,78,14,0.8235294117647058,17,0.1794871794871795,1,16,02,12,12,85,9,35.67666666666666,18,0.4971923256902199,29,2013,0.4551282051282051,20130201,20130201memwas,Memphis, -7,-110
6219,-55,10,0.45454545454545453,22,0.11235955056179775,23,4,minlal,32,01,41,0.4606741573033708,89,8,0.4444444444444444,18,0.0898876404494382,1,25,02,8,18,100,8,30.26,13,0.5158893933140735,17,2013,0.5168539325842697,20130201,20130201minlal,Minnesota, +3,-110
6220,42,13,0.37142857142857144,35,0.16883116883116883,17,4,nykmil,36,01,32,0.4155844155844156,77,20,0.7142857142857143,28,0.2597402597402597,1,15,02,14,15,97,6,31.71666666666667,15,0.5429914912673534,28,2013,0.5,20130201,20130201nykmil,New York, -5,-110
6221,45,3,0.21428571428571427,14,0.039473684210526314,20,4,phisac,38,01,36,0.47368421052631576,76,14,0.7368421052631579,19,0.18421052631578946,1,26,02,9,18,89,6,35.516666666666666,18,0.5275011853959223,19,2013,0.4934210526315789,20130201,20130201phisac,Philadelphia, -6,-110
6222,-50,4,0.26666666666666666,15,0.0449438202247191,20,7,phodal,34,01,38,0.42696629213483145,89,19,0.76,25,0.21348314606741572,1,30,02,12,21,99,9,33.166666666666664,13,0.495,16,2013,0.449438202247191,20130201,20130201phodal,Phoenix, -3.5,-110
6223,125,12,0.46153846153846156,26,0.14814814814814814,30,6,torlac,34,01,38,0.4691358024691358,81,10,0.5882352941176471,17,0.12345679012345678,1,30,02,11,25,98,7,28.90333333333333,12,0.5537974683544303,16,2013,0.5432098765432098,20130201,20130201torlac,Toronto, +5,-110
6224,41,4,0.26666666666666666,15,0.04938271604938271,19,7,utapor,38,01,35,0.43209876543209874,81,12,0.7058823529411765,17,0.14814814814814814,1,21,02,9,21,86,7,29.01,13,0.48598553345388784,25,2013,0.4567901234567901,20130201,20130201utapor,Utah, -5.5,-110
6225,-85,6,0.3157894736842105,19,0.0759493670886076,17,7,atlchi,33,02,31,0.3924050632911392,79,8,0.5333333333333333,15,0.10126582278481013,1,19,02,12,12,76,3,32.53666666666667,14,0.44392523364485986,26,2013,0.43037974683544306,20130202,20130202atlchi,Atlanta, -11.5,-110
6226,25,9,0.5,18,0.1,27,2,cleokc,30,02,43,0.4777777777777778,90,20,0.8695652173913043,23,0.2222222222222222,1,34,02,14,16,115,9,31.70666666666667,13,0.5743108270075908,13,2013,0.5277777777777778,20130202,20130202cleokc,Cleveland, +9.5,-110
6227,100,9,0.47368421052631576,19,0.10112359550561797,34,3,gswpho,33,02,45,0.5056179775280899,89,14,0.7,20,0.15730337078651685,1,17,02,14,24,113,5,34.233333333333334,13,0.5777096114519428,29,2013,0.5561797752808989,20130202,20130202gswpho,Golden State, -8,-110
6228,70,7,0.35,20,0.08536585365853659,27,5,houcho,36,02,42,0.5121951219512195,82,18,0.782608695652174,23,0.21951219512195122,1,23,02,14,19,109,5,36.913333333333334,14,0.5916196265740339,25,2013,0.5548780487804879,20130202,20130202houcho,Houston, -12.5,-110
6229,45,9,0.375,24,0.1,26,9,milorl,28,02,42,0.4666666666666667,90,14,0.7,20,0.15555555555555556,1,21,02,14,16,107,6,34.123333333333335,16,0.541497975708502,24,2013,0.5166666666666667,20130202,20130202milorl,Milwaukee, -10.5,-110
6230,137,5,0.3333333333333333,15,0.058823529411764705,31,6,minnop,30,02,52,0.611764705882353,85,20,0.6451612903225806,31,0.23529411764705882,1,26,02,18,34,129,13,22.136666666666667,18,0.6538929440389294,17,2013,0.6411764705882353,20130202,20130202minnop,Minnesota, -4.5,-110
6231,195,19,0.4418604651162791,43,0.22093023255813954,34,1,nyksac,37,02,47,0.5465116279069767,86,7,0.5384615384615384,13,0.08139534883720931,1,15,02,15,19,120,8,23.296666666666667,17,0.6541648495420846,29,2013,0.6569767441860465,20130202,20130202nyksac,New York, -11.5,-110
6232,30,10,0.5555555555555556,18,0.13333333333333333,25,6,poruta,39,02,38,0.5066666666666667,75,19,0.6785714285714286,28,0.25333333333333335,1,23,02,10,17,105,2,35.03666666666667,16,0.6012368300503894,23,2013,0.5733333333333334,20130202,20130202poruta,Portland, -4.5,-110
6233,50,5,0.25,20,0.0641025641025641,25,4,saswas,42,02,38,0.48717948717948717,78,15,0.9375,16,0.19230769230769232,1,11,02,3,17,96,5,28.523333333333333,16,0.5644402634054562,37,2013,0.5192307692307693,20130202,20130202saswas,San Antonio, -13,-110
6234,10,11,0.6111111111111112,18,0.1527777777777778,23,2,boslac,23,03,36,0.5,72,23,0.8518518518518519,27,0.3194444444444444,1,23,02,6,22,106,8,29.936666666666667,17,0.631855030996662,23,2013,0.5763888888888888,20130203,20130203boslac,Boston, +1,-110
